28: I
12: you
10: they
8: it
6: would
6: If
6: a
5: But
5: to
5: And
4: wanna
4: wanted
4: care
4: Im
4: cried
4: see
4: knew
4: do
4: me
4: dont
4: here
4: can
4: again
4: say
4: You
3: everything
3: could
3: the
3: had
3: got
3: might
3: my
3: dream
3: head
3: what
2: been
2: when
2: let
2: then
2: as
2: hurt
2: wouldnt
2: Would
2: long
2: As
2: learn
2: Nobody
2: one
2: change
2: right
2: straight
2: but
2: Chorus
2: lie
2: Dont
2: that
2: wake
2: yourself
2: up
2: all
2: like
2: nightmare
2: no
2: PreChorus
2: why
2: What
2: wonder
2: said
2: hear
2: deserve
2: was
2: go
2: instead
2: way
2: with
2: there
2: Verse
1: thought
1: called
1: year
1: ago
1: scream
1: Everything
1: tried
1: honest
1: Billie
1: Might
1: youd
1: if
1: them
1: something
1: 1
1: 2
1: even
1: anyone
1: underwater
1: Cried
1: feels
1: anybody
1: Coulda
1: It
1: weak
1: Fly
1: by
1: Golden
1: think
1: noticed
1: off
1: They
1: standing
1: fly
1: Outro
1: So
1: Kinda
1: bein
1: down
1: Like
1: mightve
1: Cause
1: from
1: To
1: mm
1: felt
1: em
1: Thought
1: Not
1: were
1: know
1: daughter
1: who
1: everybody
1: somebodys
1: yesterday
1: not
1: now
1: wants
1: just
1: stepped
1: saw
1: Eilish
